"Id","Elected","Amount","Label","Size","Color","ElectColor"
"andrew clyde",TRUE,115000,"Andrew Clyde",3.2067845610521,"red","red"
"steve cohen",TRUE,106600,"Steve Cohen",3.18255355435749,"blue","blue"
"jahmal cole",FALSE,35400,"Jahmal Cole",2.85036401279471,"blue","grey"
"tom cole",TRUE,160110,"Tom Cole",3.31468181558748,"red","red"
"bonnie coleman",TRUE,106080,"Bonnie Coleman",3.18099767079301,"blue","blue"
"joe collins",FALSE,47872,"Joe Collins",2.93770482921391,"red","grey"
"mike collins",TRUE,129000,"Mike Collins",3.24383661058629,"red","red"
"james comer",TRUE,149550,"James Comer",3.292142624351,"red","red"
"chad conerly",FALSE,15600,"Chad Conerly",2.62610725707209,"red","grey"
"lateefah conner",FALSE,9459,"Lateefah Conner",2.49795449464308,"blue","grey"
"gerry connolly",TRUE,161925,"Gerry Connolly",3.31842029324626,"blue","blue"
"marty cooke",FALSE,1000,"Marty Cooke",1.99526231496888,"red","grey"
"jim cooper",FALSE,84250,"Jim Cooper",3.10854379936641,"blue","grey"
"mike corbin",FALSE,4500,"Mike Corbin",2.31910948095661,"red","grey"
"seth corey",FALSE,6500,"Seth Corey",2.40597624817158,"blue","grey"
"lou correa",TRUE,109500,"Lou Correa",3.19110733277418,"blue","blue"
"jim costa",TRUE,104699,"Jim Costa",3.17683203417581,"blue","blue"
"amy courser",FALSE,16800,"Amy Courser",2.64564109668251,"red","grey"
"joe courtney",TRUE,176055,"Joe Courtney",3.34629971449395,"blue","blue"
"carolyn covell",FALSE,5855,"Carolyn Covell",2.38096323787823,"red","grey"
"frank craft",FALSE,1000,"Frank Craft",1.99526231496888,"L","grey"
"angie craig",TRUE,395703,"Angie Craig",3.62858193662257,"blue","blue"
"mike crapo",TRUE,453260,"Mike Crapo",3.67819491320942,"red","red"
"rick crawford",TRUE,113250,"Rick Crawford",3.20187092921299,"red","red"
"dan crenshaw",TRUE,149125,"Dan Crenshaw",3.29120584525362,"red","red"
"jason crow",TRUE,171738,"Jason Crow",3.33800236539161,"blue","blue"
"rob cruz",FALSE,32200,"Rob Cruz",2.8234856651904,"red","grey"
"desi cuellar",FALSE,12785,"Desi Cuellar",2.57436470912209,"red","grey"
"henry cuellar",TRUE,835706,"Henry Cuellar",3.91025744897529,"blue","blue"
"loren culp",FALSE,47615,"Loren Culp",2.93612390448778,"red","grey"
"eric curry",FALSE,2250,"Eric Curry",2.16380565671832,"blue","grey"
"john curtis",TRUE,173400,"John Curtis",3.34121874563214,"red","red"
"ally dalsimer",FALSE,16600,"Ally Dalsimer",2.64247452291413,"blue","grey"
"teddy daniels",FALSE,24774,"Teddy Daniels",2.75042377418896,"red","grey"
"sharice davids",TRUE,455341,"Sharice Davids",3.67988016127059,"blue","blue"
"warren davidson",TRUE,113800,"Warren Davidson",3.20342253380514,"red","red"
"danny davis",TRUE,86000,"Danny Davis",3.11494114351616,"blue","blue"
"rodney davis",TRUE,240500,"Rodney Davis",3.45232368723114,"red","red"
"antonio daza",FALSE,15700,"Antonio Daza",2.62778582281563,"blue","grey"
"monica hernandez",TRUE,124119,"Monica Hernandez",3.23134870619905,"red","red"
"katie dean",FALSE,17405,"Katie Dean",2.65501759031115,"blue","grey"
"madeleine dean",TRUE,156900,"Madeleine Dean",3.30797557616905,"blue","blue"
"mike decillis",FALSE,11950,"Mike Decillis",2.55703569450376,"blue","grey"
"peter defazio",FALSE,139860,"Peter DeFazio",3.27016263820275,"blue","grey"
"diana degette",TRUE,235340,"Diana DeGette",3.4448441211908,"blue","blue"
"vic degrammont",FALSE,1750,"Vic DeGrammont",2.11010372846956,"red","grey"
"rosa delauro",TRUE,222522,"Rosa DeLauro",3.42560509166906,"blue","blue"
"suzan delbene",TRUE,162144,"Suzan DelBene",3.31886882937187,"blue","blue"
"antonio delgado",FALSE,336157,"Antonio Delgado",3.56988491712219,"blue","grey"
"val demings",FALSE,632434,"Val Demings",3.80278280046343,"blue","grey"
"john dennis",FALSE,31072,"John Dennis",2.81343522614823,"red","grey"
"eugene depasquale",FALSE,29624,"Eugene DePasquale",2.80004086651715,"blue","grey"
"mark desaulnier",FALSE,100000,"Mark Desaulnier",3.16227766016838,"blue","grey"
"scott desjarlais",FALSE,73500,"Scott Desjarlais",3.06639948924784,"red","grey"
"ted deutch",FALSE,79400,"Ted Deutch",3.09016771063596,"blue","grey"
